Comment,Designator,Footprint,LCSC
120R/0.5A,"FB201,FB202,FB203",L_0805_2012Metric,C1015
Alps SKRTLAE010,SW401,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,C110293
8MHz 20pF,Y401,Crystal_SMD_HC49-SD,C12674
100nF,"C203,C204,C401,C405,C407,C409,C410,C411,C412,C501",C_0603_1608Metric,C14663
1uF,"C302,C303,C404,C502",C_0603_1608Metric,C15849
20pF C0G,"C402,C403",C_0603_1608Metric,C1648
USB_C_Receptacle,J201,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1N5819WS,"D301,D302",D_SOD-323,C191023
4.7uF,"C301,C408",C_0603_1608Metric,C19666
150R,"R114,R117,R120",R_0603_1608Metric,C22808
47R,"R115,R116,R118,R119,R121,R122",R_0603_1608Metric,C23182
"5k1, 20%","R201,R202",R_0603_1608Metric,C23186
82k,R403,R_0603_1608Metric,C23254
2.2uF X5R,C406,C_0603_1608Metric,C23630
10k,"R401,R402,R405",R_0603_1608Metric,C25804
33k,R404,R_0603_1608Metric,C4216
LED,"D103,D104,D105",LED_LiteOn_LTST-C19HE1WT,C458749
XC6206P332MR,U301,SOT-23,C5446
10nF,C202,C_0603_1608Metric,C57112
SRV05-4,D201,SOT-23-6,C7420376
STM32F401RCT6,U401,LQFP-64_10x10mm_P0.5mm,C74524
