Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C202,10nF,C_0603_1608Metric,103.124,-58.428,-90.0,top
C203,100nF,C_0603_1608Metric,111.252,-72.009,0.0,top
C204,100nF,C_0603_1608Metric,108.204,-58.428,-90.0,top
C301,4.7uF,C_0603_1608Metric,117.856,-56.637,-90.0,top
C302,1uF,C_0603_1608Metric,119.38,-56.637,-90.0,top
C303,1uF,C_0603_1608Metric,125.73,-56.756,-90.0,top
C401,100nF,C_0603_1608Metric,115.557,-75.946,0.0,top
C402,20pF C0G,C_0603_1608Metric,130.937,-71.12,-90.0,top
C403,20pF C0G,C_0603_1608Metric,130.937,-68.072,90.0,top
C404,1.0uF,C_0603_1608Metric,129.172,-60.206,180.0,top
C405,100nF,C_0603_1608Metric,129.172,-61.73,180.0,top
C406,2.2uF X5R,C_0603_1608Metric,119.38,-59.804,-90.0,top
C407,100nF,C_0603_1608Metric,126.251,-76.2,0.0,top
C408,4.7uF,C_0603_1608Metric,126.264,-77.724,0.0,top
C409,100nF,C_0603_1608Metric,115.583,-73.16,180.0,top
C410,100nF,C_0603_1608Metric,116.713,-61.222,90.0,top
C411,100nF,C_0603_1608Metric,125.984,-59.436,0.0,top
C412,100nF,C_0603_1608Metric,128.524,-75.184,-90.0,top
C501,100nF,C_0603_1608Metric,143.116,-68.453,180.0,top
C502,1uF,C_0603_1608Metric,143.116,-69.977,0.0,top
D103,LED,LED_LiteOn_LTST-C19HE1WT,153.035,-79.5,90.0,top
D104,LED,LED_LiteOn_LTST-C19HE1WT,144.653,-79.5,90.0,top
D105,LED,LED_LiteOn_LTST-C19HE1WT,139.663,-79.5,90.0,top
D201,SRV05-4,SOT-23-6,110.617,-68.9635,180.0,top
D301,1N5819WS,D_SOD-323,112.556,-58.166,180.0,top
D302,1N5819WS,D_SOD-323,112.522,-56.007,180.0,top
FB201,120R/0.5A,L_0805_2012Metric,110.49,-62.103,0.0,top
FB202,120R/0.5A,L_0805_2012Metric,110.49,-63.881,0.0,top
FB203,120R/0.5A,L_0805_2012Metric,105.6175,-57.653,0.0,top
J201,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,103.19,-69.5,270.0,top
R114,150R,R_0603_1608Metric,154.178,-74.422,90.0,top
R115,47R,R_0603_1608Metric,155.778,-74.422,90.0,top
R116,47R,R_0603_1608Metric,157.378,-74.422,90.0,top
R117,150R,R_0603_1608Metric,149.682,-74.422,90.0,top
R118,47R,R_0603_1608Metric,148.082,-74.422,90.0,top
R119,47R,R_0603_1608Metric,151.282,-74.422,90.0,top
R120,150R,R_0603_1608Metric,142.443,-74.295,90.0,top
R121,47R,R_0603_1608Metric,140.843,-74.295,90.0,top
R122,47R,R_0603_1608Metric,144.143,-74.295,90.0,top
R201,"5k1, 20%",R_0603_1608Metric,102.362,-61.984,90.0,top
R202,"5k1, 20%",R_0603_1608Metric,105.41,-61.984,90.0,top
R401,10k,R_0603_1608Metric,115.557,-77.47,0.0,top
R402,10k,R_0603_1608Metric,108.585,-76.581,0.0,top
R403,82k,R_0603_1608Metric,114.046,-62.238,-90.0,top
R404,33k,R_0603_1608Metric,114.046,-65.857,-90.0,top
R405,10k,R_0603_1608Metric,129.857,-57.158,-90.0,top
SW401,Alps SKRTLAE010,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,102.05,-79.15,-90.0,top
U301,XC6206P332MR,SOT-23,122.3495,-56.896,0.0,top
U401,STM32F401RCT6,LQFP-64_10x10mm_P0.5mm,122.769,-68.108,90.0,top
Y401,8MHz 20pF,Crystal_SMD_HC49-SD,134.747,-71.374,-90.0,top
